Scenario,Period,Scope,Processor,Interface,Orientation,RoegenType,Value,Unit,Level,System,Subsystem,Sphere
Scenario1,2011,External,Society,Biodiesel,Input,Flow,4500.0,tonnes,“n+1”,NL,Local,Biosphere
Scenario1,2011,External,Society,Biodiesel,Output,flow,4500.0,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,External,Society,Bioethanol,Input,Flow,3600.0,tonnes,“n+1”,NL,Local,Biosphere
Scenario1,2011,External,Society,Bioethanol,Output,flow,3600.0,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,External,Society,Biofuel,Input,flow,8100.0,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,External,Society,Biofuel,Output,flow,8100.0,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,External,Society.CommerceImports,Biodiesel,Output,Flow,4500.0,tonnes,,NL,External,Biosphere
Scenario1,2011,External,Society.CommerceImports,Bioethanol,Output,Flow,3600.0,tonnes,,NL,External,Biosphere
Scenario1,2011,External,Society.CommerceImports,Biofuel,Output,flow,8100.0,tonnes,,NL,External,Technosphere
Scenario1,2011,Internal,Society,Biodiesel,Input,Flow,6750.0,tonnes,“n+1”,NL,Local,Biosphere
Scenario1,2011,Internal,Society,Biodiesel,Output,flow,25000.0,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,Bioethanol,Input,Flow,9600.0,tonnes,“n+1”,NL,Local,Biosphere
Scenario1,2011,Internal,Society,Bioethanol,Output,flow,32000.0,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,Biofuel,Input,flow,16350.0,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,Biofuel,Output,flow,57000.0,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,BlueWater,Input,flow,259937.425,m3,“n+1”,NL,Local,Biosphere
Scenario1,2011,Internal,Society,CropProduction,Input,flow,198902.995,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,CropProduction,Output,flow,198902.995,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,Diesel,Input,flow,644543.984,l,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,Elec,Input,flow,6431308.076,kWh,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,Fertilizer,Input,flow,1377183.468,kg,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,FertilizerK2O,Input,flow,203062.551,kg,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,FertilizerN,Input,flow,995289.636,kg,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,FertilizerP2O5,Input,flow,178831.28,kg,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,GreenWater,Input,flow,24098339.655,m3,“n+1”,NL,Local,Biosphere
Scenario1,2011,Internal,Society,HA,Input,fund,113779.23,h,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,Heat,Input,flow,155786139.311,MJ,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,LU,Input,fund,6741.136,ha,“n+1”,NL,Local,Biosphere
Scenario1,2011,Internal,Society,Maize,Input,flow,15022.08,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,Maize,Output,flow,15022.08,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,PalmFruit,Input,flow,4768.9,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,PalmFruit,Output,flow,4768.9,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,RapeSeed,Input,flow,12105.23,tonnes,“n+1”,NL,Local,Technosphere
Scenario1,2011,Internal,Society,RapeSeed,Output,flow,12105.23,tonnes,“n+1”,NL,Local,Technosphere
