Scenario,Period,Processor,Scope,Biodiesel Input,Biodiesel Output,Bioethanol Input,Bioethanol Output,Biofuel Input,Biofuel Output,BlueWater Input,BlueWaterIn Input,BlueWaterOut Output,CropProduction Input,CropProduction Output,Diesel Input,Elec Input,Fertilizer Input,FertilizerK2O Input,FertilizerN Input,FertilizerP2O5 Input,GreenWater Input,HA Input,Heat Input,LU Input,Maize Input,Maize Output,PalmFruit Input,PalmFruit Output,RapeSeed Input,RapeSeed Output,SoyBean Input,SoyBean Output,SugarBeet Input,SugarBeet Output,SugarCane Input,SugarCane Output,Wheat Input,Wheat Output
Scenario1,2011,Society,Internal,6750.0,25000.0,9600.0,32000.0,16350.0,57000.0,259937.425,,,198902.995,198902.995,644543.984,6431308.076,1377183.468,203062.551,995289.636,178831.28,24098339.655,113779.23,155786139.311,6741.136,15022.08,15022.08,4768.9,4768.9,12105.23,12105.23,18526.786,18526.786,70656.0,70656.0,69120.0,69120.0,8704.0,8704.0
Scenario1,2011,Society.Biodiesel,Internal,,25000.0,,,,25000.0,0.0,,,35400.915,35400.915,93468.689,1479632.428,827268.716,105608.772,633652.633,88007.31,10606550.902,48705.523,17508251.311,3520.292,,,4768.9,4768.9,12105.23,12105.23,18526.786,18526.786,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops,Internal,,25000.0,,,,25000.0,0.0,,,35400.915,35400.915,93468.689,1479632.428,827268.716,105608.772,633652.633,88007.31,10606550.902,48705.523,17508251.311,3520.292,,,4768.9,4768.9,12105.23,12105.23,18526.786,18526.786,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.ExternalPalmOil,Internal,,1500.0,,,,1500.0,,,,1430.67,1430.67,,15642.0,,,,,,420.0,323302.8,,,,1430.67,1430.67,,,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.ExternalPalmOil.PalmOilCrop,Internal,,,,,,,,,,,1430.67,,,,,,,,,,,,,,1430.67,,,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.ExternalPalmOil.PalmOilProcessing,Internal,,300.0,,,,300.0,,4391.848,2314.41,1430.67,,,15642.0,,,,,,420.0,323302.8,,,,1430.67,,,,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.ExternalRapeSeed,Internal,,1500.0,,,,1500.0,0.0,,,2421.046,2421.046,18693.738,180918.0,165453.743,21121.754,126730.527,17601.462,2121310.18,8936.105,1120878.0,704.058,,,,,2421.046,2421.046,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.ExternalRapeSeed.RapeSeedCrop,Internal,,,,,,,0.0,,,,2421.046,18693.738,,165453.743,21121.754,126730.527,17601.462,2121310.18,8306.105,,704.058,,,,,,2421.046,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.ExternalRapeSeed.RapeSeedProcessing,Internal,,900.0,,,,900.0,,381.257,178.36,2421.046,,,180918.0,,,,,,630.0,1120878.0,,,,,,2421.046,,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.ExternalSoyBean,Internal,,5000.0,,,,5000.0,,,,7410.714,7410.714,,209160.971,,,,,,1050.0,4330474.125,,,,,,,,7410.714,7410.714,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.ExternalSoyBean.SoyBeanCrop,Internal,,,,,,,,,,,7410.714,,,,,,,,,,,,,,,,,,7410.714,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.ExternalSoyBean.SoyBeanProcessing,Internal,,1500.0,,,,1500.0,,724.526,478.083,7410.714,,,209160.971,,,,,,1050.0,4330474.125,,,,,,,,7410.714,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.PalmOil,Internal,,3500.0,,,,3500.0,,,,3338.23,3338.23,,36498.0,,,,,,980.0,754373.2,,,,3338.23,3338.23,,,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.PalmOil.PalmOilCrop,Internal,,,,,,,,,,,3338.23,,,,,,,,,,,,,,3338.23,,,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.PalmOil.PalmOilProcessing,Internal,,700.0,,,,700.0,,10247.645,5400.29,3338.23,,,36498.0,,,,,,980.0,754373.2,,,,3338.23,,,,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.RapeSeed,Internal,,6000.0,,,,6000.0,0.0,,,9684.184,9684.184,74774.951,723672.0,661814.973,84487.018,506922.107,70405.848,8485240.722,35744.419,4483512.0,2816.234,,,,,9684.184,9684.184,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.RapeSeed.RapeSeedCrop,Internal,,,,,,,0.0,,,,9684.184,74774.951,,661814.973,84487.018,506922.107,70405.848,8485240.722,33224.419,,2816.234,,,,,,9684.184,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.RapeSeed.RapeSeedProcessing,Internal,,3600.0,,,,3600.0,,1525.028,713.441,9684.184,,,723672.0,,,,,,2520.0,4483512.0,,,,,,9684.184,,,,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.SoyBean,Internal,,7500.0,,,,7500.0,,,,11116.071,11116.071,,313741.457,,,,,,1575.0,6495711.187,,,,,,,,11116.071,11116.071,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.SoyBean.SoyBeanCrop,Internal,,,,,,,,,,,11116.071,,,,,,,,,,,,,,,,,,11116.071,,,,,,
Scenario1,2011,Society.Biodiesel.OilCrops.SoyBean.SoyBeanProcessing,Internal,,2250.0,,,,2250.0,,1086.789,717.124,11116.071,,,313741.457,,,,,,1575.0,6495711.187,,,,,,,,11116.071,,,,,,,
Scenario1,2011,Society.Bioethanol,Internal,,,,32000.0,,32000.0,259937.425,,,163502.08,163502.08,551075.296,4951675.648,549914.752,97453.779,361637.003,90823.97,13491788.752,65073.707,138277888.0,3220.843,15022.08,15022.08,,,,,,,70656.0,70656.0,69120.0,69120.0,8704.0,8704.0
Scenario1,2011,Society.Bioethanol.Cereals,Internal,,,,6400.0,,6400.0,244427.785,,,23726.08,23726.08,465552.238,2953265.459,348258.548,35541.786,266115.643,46601.118,9621775.642,36026.46,104636416.0,2336.386,15022.08,15022.08,,,,,,,,,,,8704.0,8704.0
Scenario1,2011,Society.Bioethanol.Cereals.ExternalMaize,Internal,,,,3584.0,,3584.0,171099.45,,,10515.456,10515.456,254433.678,1312841.457,80130.75,17049.096,37508.011,25573.644,3623143.738,13571.825,46971187.2,852.455,10515.456,10515.456,,,,,,,,,,,,
Scenario1,2011,Society.Bioethanol.Cereals.ExternalMaize.MaizeCrop,Internal,,,,,,,171099.45,,,,10515.456,254433.678,,80130.75,17049.096,37508.011,25573.644,3623143.738,11313.905,,852.455,,10515.456,,,,,,,,,,,,
Scenario1,2011,Society.Bioethanol.Cereals.ExternalMaize.MaizeProcessing,Internal,,,,3225.6,,3225.6,,28030.464,8999.424,10515.456,,,1312841.457,,,,,,2257.92,46971187.2,,10515.456,,,,,,,,,,,,,
Scenario1,2011,Society.Bioethanol.Cereals.ExternalWheat,Internal,,,,1024.0,,1024.0,0.0,,,6963.2,6963.2,81660.444,862222.131,187028.839,8948.748,170026.217,8053.873,3556684.814,13310.51,30027776.0,894.875,,,,,,,,,,,,,6963.2,6963.2
Scenario1,2011,Society.Bioethanol.Cereals.ExternalWheat.WheatCrop,Internal,,,,,,,0.0,,,,6963.2,81660.444,,187028.839,8948.748,170026.217,8053.873,3556684.814,11876.91,,894.875,,,,,,,,,,,,,,6963.2
